unique_id_x,retweets,favorites,handle_x,fecha,adjpoll_clinton,adjpoll_trump,index_weighted
HillaryClinton_2016719,79357,155351,HillaryClinton,2016-07-19,41.40015,34.71246,2.742575386714522e-10
realDonaldTrump_2016719,56672,184754,realDonaldTrump,2016-07-19,41.40015,34.71246,2.742575386714522e-10
HillaryClinton_201672,9814,27888,HillaryClinton,2016-07-02,44.24447666666666,35.394693333333336,8.732295152069848e-09
realDonaldTrump_201672,74548,196872,realDonaldTrump,2016-07-02,44.24447666666666,35.394693333333336,8.732295152069848e-09
HillaryClinton_2016720,108938,197137,HillaryClinton,2016-07-20,44.435366666666674,35.31899333333333,9.208664788164006e-09
realDonaldTrump_2016720,208440,632140,realDonaldTrump,2016-07-20,44.435366666666674,35.31899333333333,9.208664788164006e-09
HillaryClinton_2016721,94255,166944,HillaryClinton,2016-07-21,40.49585,34.23791,7.445872586208148e-10
realDonaldTrump_2016721,55719,209618,realDonaldTrump,2016-07-21,40.49585,34.23791,7.445872586208148e-10
HillaryClinton_2016722,234939,437610,HillaryClinton,2016-07-22,40.69155,34.66335333333333,1.6273470006557967e-09
realDonaldTrump_2016722,62049,204275,realDonaldTrump,2016-07-22,40.69155,34.66335333333333,1.6273470006557967e-09
HillaryClinton_2016723,156576,396863,HillaryClinton,2016-07-23,39.68725333333333,35.48881,2.5257789861530532e-09
realDonaldTrump_2016723,112152,329282,realDonaldTrump,2016-07-23,39.68725333333333,35.48881,2.5257789861530532e-09
HillaryClinton_2016724,26926,53985,HillaryClinton,2016-07-24,43.59626333333333,35.41275666666667,2.684927124931642e-09
realDonaldTrump_2016724,137270,435186,realDonaldTrump,2016-07-24,43.59626333333333,35.41275666666667,2.684927124931642e-09
HillaryClinton_2016725,65424,168149,HillaryClinton,2016-07-25,42.49967083333333,43.0379025,2.273699817544385e-07
realDonaldTrump_2016725,206669,646764,realDonaldTrump,2016-07-25,42.49967083333333,43.0379025,2.273699817544385e-07
HillaryClinton_2016726,232077,619006,HillaryClinton,2016-07-26,39.074243333333335,37.26427666666667,2.676715484140428e-09
realDonaldTrump_2016726,130309,440295,realDonaldTrump,2016-07-26,39.074243333333335,37.26427666666667,2.676715484140428e-09
